	X120314	X120322	X120328	X120403	X120416	X120419	X120423	X120516	X120531	X120604	X120613	X120619	X120628	X120705	X120709	X120717	X120802	X120806	X120813	X120820	X120823	X120828	X120903	X120920	X120924	X121001	X121004	X121015	X121022	X121028	X121105	X121128	X121220	P1994_101	P1994_102	P1994_103	P1994_104	P1994_105	P1994_106	P1994_107	P1994_108	P1994_109	P1994_110	P1994_111	P1994_112	P1994_113	P1994_114	P1994_115	P1994_116	P1994_117	P1994_118	P1994_119	P1994_120	P1994_121	P1994_122	P1994_123	P1994_124	P1994_125	P1994_126	P1994_127	P1994_128	P1994_129	P1994_130	P2236_101	P2236_102	P2236_103	P2236_104	P2236_105	P2236_106	P2236_107	P2236_108	P2236_109	P2236_110	P2236_111	P2236_112	P2236_113	P2236_114
M00001	288.9178472	406.7598895	272.9564942	297.4412029	316.3871838	437.9583369	278.8776091	408.9069817	411.4676564	412.4514225	295.5967807	383.2253006	422.4026822	327.4451521	316.8737304	397.747098	366.0069891	380.2025257	414.1810733	455.1795478	346.3578331	264.6853928	327.9899077	432.2762857	456.7506975	403.4785398	446.2100062	345.6402585	332.7433636	260.6916685	386.801063	276.6669129	324.1005606	466.5345366	408.1633169	380.5075971	441.8619764	282.6630911	327.8994285	413.4154593	318.2702501	320.8357489	380.6833745	412.7098284	491.7128288	404.2153737	333.8336327	252.1354647	388.3945802	329.2339461	357.1995519	493.2846842	368.1260141	339.7236482	264.2653897	271.1925436	294.4527663	408.3478524	467.3154479	465.212661	328.115675	324.9666391	319.8491785	203.9384066	301.9308051	246.4284065	309.0280498	241.2066489	257.6477629	258.018754	310.2083241	175.2571653	399.3747757	448.2388195	432.3873327	277.0485243	238.8067462
M00002	288.9178472	406.7598895	272.9564942	297.4412029	316.3871838	437.9583369	278.8776091	408.9069817	411.4676564	412.4514225	295.5967807	383.2253006	422.4026822	327.4451521	316.8737304	397.747098	366.0069891	380.2025257	414.1810733	455.1795478	346.3578331	264.6853928	327.9899077	432.2762857	456.7506975	403.4785398	446.2100062	345.6402585	332.7433636	260.6916685	386.801063	276.6669129	324.1005606	466.5345366	408.1633169	380.5075971	441.8619764	282.6630911	327.8994285	413.4154593	318.2702501	320.8357489	380.6833745	412.7098284	491.7128288	404.2153737	333.8336327	252.1354647	388.3945802	329.2339461	357.1995519	493.2846842	368.1260141	339.7236482	264.2653897	271.1925436	294.4527663	408.3478524	467.3154479	465.212661	328.115675	324.9666391	319.8491785	203.9384066	301.9308051	246.4284065	309.0280498	241.2066489	257.6477629	258.018754	310.2083241	175.2571653	399.3747757	448.2388195	432.3873327	277.0485243	238.8067462
M00003	247.4126413	317.1934237	188.6560483	209.5923174	282.3841095	345.7421931	234.8047464	298.8325629	256.355497	292.1442823	206.9966939	323.3444129	326.0925782	325.591402	215.7519573	253.2945883	276.8092465	243.5201919	313.5908503	338.1680884	332.6083095	235.0622392	284.2320273	365.8127928	294.4913086	354.9302495	349.7884421	306.3522884	274.9067629	219.8578093	353.2531623	266.0247359	294.9498779	352.5966706	492.0642295	425.8644678	448.9351526	257.2720594	287.6441709	348.0593231	312.8059239	300.7653105	322.5587759	329.8567425	345.3753116	289.5802284	299.2202791	234.6709303	310.4838039	292.9447755	293.0069302	316.1368425	291.7008325	308.2093266	218.9844882	262.2101823	317.2814285	289.985776	327.1807055	304.7034719	266.0144046	284.8899786	292.8214868	195.8199921	336.237461	195.2803525	325.2075463	272.4495166	299.0712493	264.157994	326.5174668	137.7317277	348.5295905	312.6209531	342.6909835	284.4746508	249.6730009
M00004	201.7643685	257.7827668	158.2114868	153.3800854	243.5731147	241.4114522	217.8484321	230.8006668	286.3915592	328.3421734	234.4092354	316.0756709	316.6342219	228.74305	194.0105057	281.6821094	279.9130398	231.7148387	265.7542743	264.9304577	267.0062652	208.9458647	230.3115567	287.4932397	218.1135768	266.7817752	292.8084191	250.4749591	221.6585336	192.2842201	260.3146537	212.717955	241.1457771	310.6816894	288.5587252	261.9140697	260.3443714	167.9304899	251.3144253	295.8579884	376.7590208	372.1122113	265.0870543	288.5430445	278.5420452	222.4541725	239.1723792	200.2170623	224.7684988	245.2606665	249.7738691	253.2971728	238.535502	247.4971884	163.6048894	331.6123688	270.895733	238.3359083	342.6344309	293.7669735	158.3263422	279.1327156	273.3204092	182.384497	309.344993	175.8332557	283.4153929	237.0299255	336.3817622	211.9728028	293.7335276	89.09134379	238.6725469	270.84607	305.81769	247.8667742	215.8756285
M00005	215.8050235	359.5423722	160.3869354	219.3463326	274.5408579	292.3815211	203.1265177	256.1744676	204.6704898	260.3749706	216.0520091	317.0591674	299.5015584	320.3024517	261.9168765	269.4050261	339.8486643	257.9066516	327.9332624	395.1837652	374.3885458	242.255222	278.0820416	346.6397021	317.7217597	383.3338774	344.0510713	338.6161031	297.3811944	218.398568	407.2703152	287.084647	312.0890953	322.2969676	478.2958682	422.2717836	338.1277114	197.1384218	358.1228059	395.1514151	406.5349554	384.6423644	336.5482698	339.8223423	346.0732638	272.1922277	290.4316678	236.0947221	267.388751	276.6204441	280.5094089	262.3067074	262.0102471	294.1718988	170.9717961	412.174429	328.7831349	255.5594633	355.3106874	298.8196386	217.1657868	333.7965111	327.7539994	255.0224654	359.6680728	215.3081829	384.1661881	292.064907	383.9868121	279.61978	376.8132527	115.5188714	413.3137885	377.0467962	396.6046847	304.3413926	266.0698928
M00006	45.44417543	48.25941234	29.49204265	24.041406	28.28752672	34.88903546	15.23264237	32.93861685	31.72692983	41.20677746	35.24583605	38.57336191	44.58810986	37.24368281	28.03313729	27.8021149	39.30851276	47.32893433	52.77814705	46.28369945	54.32053335	27.33324549	36.43113491	51.06601152	47.058707	54.97250419	52.2383476	48.48368737	47.8278597	37.95655043	51.79263312	38.45253408	51.64316164	43.91478928	57.63683299	50.5197955	94.37011443	38.73035772	58.81444031	64.62633188	106.6898569	122.9911236	55.75250302	51.13655749	58.71045962	46.77608941	69.09944922	53.76493793	68.31561269	70.40354429	60.40853916	60.5700376	56.9160021	85.83687997	43.01803871	59.07833651	40.17779328	89.07336002	98.5565412	58.78769181	66.19022589	72.33437799	67.21163354	43.56402386	59.76570919	34.43187985	51.63695068	60.4803072	86.86436091	47.25273549	71.95715134	61.4919163	89.38184888	79.05798224	104.960592	55.70345843	60.67324212
M00007	175.5160673	216.5075923	126.2019811	155.7612885	213.0063951	236.7447527	145.8841473	193.0693089	147.70321	180.3962097	134.7230634	232.8318128	263.0960603	363.1312872	164.1818678	248.7006564	231.7140968	211.7784012	285.133332	317.538741	281.2088214	201.6935988	260.0596583	274.504169	199.0819144	284.1250257	300.0837694	277.7086102	223.8000069	180.2786027	266.9549142	257.9284334	234.3697652	344.0680774	369.647624	300.861659	231.7946773	190.1408513	305.4242162	293.4388048	312.0760698	288.8053308	262.1321983	265.0318055	306.8620201	205.1593489	237.208236	197.1529368	208.6197181	200.8487648	211.86221	180.5545818	216.7492028	282.6619235	140.5217324	179.1475448	352.4815329	223.2416158	329.1015809	283.2778769	128.096231	274.3932807	290.1344068	185.9343284	334.2017474	184.0159042	369.4165806	215.143418	256.6363124	207.6613033	334.8751523	111.0404034	339.7894689	241.739498	332.1003058	261.1321226	227.7155171
M00008	69.52254156	124.6414099	53.51045808	35.68851937	77.47170944	132.8812475	80.38530809	116.6884319	81.5348369	119.8791469	60.33326866	81.44296279	111.6300026	108.3836992	77.19043329	65.06962381	78.35491429	58.66670809	98.80197912	127.4070846	116.316764	61.93737402	83.30136425	102.8363193	81.26583089	121.539588	117.1726128	100.5561695	76.52654894	72.00827949	129.4725917	72.57516121	90.06064601	139.7097246	76.25307555	64.64259855	67.2400139	58.61064379	84.56959869	94.39212665	70.98468322	70.96418889	119.5635856	111.5304822	116.6488217	100.1571892	97.61697848	75.79872436	77.10109886	77.23021389	86.23334064	73.35578673	59.39654205	76.18684089	53.3249834	91.93782481	58.10598006	61.71188058	81.45783715	75.69063333	44.64753829	99.62402682	92.14313833	61.56287799	92.24491894	47.17065159	66.414976	48.9316332	51.66178587	44.85452233	58.09830134	22.75446314	73.13712866	70.81524595	65.38120954	52.45185721	85.13674179
M00009	127.8417066	164.1669356	81.98064161	86.6868548	140.8930863	100.6546918	84.34765096	106.5448639	71.4805572	83.96997271	107.5659904	107.7073881	157.94394	118.1017369	152.2943012	220.0032138	119.2708997	99.40529492	135.4272851	172.4641883	159.6681143	92.23818699	97.77195306	176.5422874	182.9754855	179.8086908	194.2069242	158.642848	130.6793863	109.8434109	197.3794352	154.344826	153.5166121	95.54131021	216.9669535	191.4085395	169.0428036	144.9935624	218.4483308	178.292525	165.1029046	170.0967774	139.199469	131.9720228	119.4741184	114.676011	159.403522	125.8036925	148.6256019	149.0278994	145.3042479	131.4031245	147.2591411	168.5467044	93.86599818	130.3582381	203.6596325	150.3289235	180.5302345	146.9074841	114.1002104	209.6312687	200.8614915	107.7181669	213.2358091	115.2271302	196.7835622	150.5077141	192.6534165	139.6809798	180.5390089	52.4883309	147.200967	133.22687	146.1242335	146.4591351	141.4429682
M00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00011	127.8417066	164.1669356	81.98064161	86.6868548	140.8930863	100.6546918	84.34765096	106.5448639	71.4805572	83.96997271	107.5659904	107.7073881	157.94394	118.1017369	152.2943012	220.0032138	119.2708997	99.40529492	135.4272851	172.4641883	159.6681143	92.23818699	97.77195306	176.5422874	182.9754855	179.8086908	194.2069242	158.642848	130.6793863	109.8434109	197.3794352	154.344826	153.5166121	95.54131021	216.9669535	191.4085395	169.0428036	144.9935624	218.4483308	178.292525	165.1029046	170.0967774	139.199469	131.9720228	119.4741184	114.676011	159.403522	125.8036925	148.6256019	149.0278994	145.3042479	131.4031245	147.2591411	168.5467044	93.86599818	130.3582381	203.6596325	150.3289235	180.5302345	146.9074841	114.1002104	209.6312687	200.8614915	107.7181669	213.2358091	115.2271302	196.7835622	150.5077141	192.6534165	139.6809798	180.5390089	52.4883309	147.200967	133.22687	146.1242335	146.4591351	141.4429682
